date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
05:47:23	114/114	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2024%20Feb%202025%2004:47:31%20GMT	https://demos.themeselection.com/robots.txt		(from )
05:47:23	54193/54193	---MCZ	200	added ('OK')	text/html	etag:W/%2266a251f8-d3b1%22	https://demos.themeselection.com/sneat-bootstrap-html-admin-template-free/html/	C:/Users/Stania/Documents/sneat/demos.themeselection.com/sneat-bootstrap-html-admin-template-free/html/index.html	(from )
05:47:24	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Mon,%2024%20Feb%202025%2004:47:33%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/Users/Stania/Documents/sneat/www.googletagmanager.com/gtm.05445.delayed	(from https://demos.themeselection.com/sneat-bootstrap-html-admin-template-free/html/)
05:47:25	66583/66583	---M--	200	added ('OK')	text/css	etag:%2266a251f8-10417%22	https://demos.themeselection.com/sneat-bootstrap-html-admin-template-free/assets/vendor/fonts/boxicons.css	C:/Users/Stania/Documents/sneat/demos.themeselection.com/sneat-bootstrap-html-admin-template-free/assets/vendor/fonts/boxicons.css	(from https://demos.themeselection.com/sneat-bootstrap-html-admin-template-free/html/)
05:47:26	26716/26716	---M--	200	added ('OK')	text/css	etag:%2266a251f8-685c%22	https://demos.themeselection.com/sneat-bootstrap-html-admin-template-free/assets/vendor/css/theme-default.css	C:/Users/Stania/Documents/sneat/demos.themeselection.com/sneat-bootstrap-html-admin-template-free/assets/vendor/css/theme-default.css	(from https://demos.themeselection.com/sneat-bootstrap-html-admin-template-free/html/)
05:47:27	456314/456314	---M--	200	added ('OK')	text/css	etag:%2266a251f8-6f67a%22	https://demos.themeselection.com/sneat-bootstrap-html-admin-template-free/assets/vendor/css/core.css	C:/Users/Stania/Documents/sneat/demos.themeselection.com/sneat-bootstrap-html-admin-template-free/assets/vendor/css/core.css	(from https://demos.themeselection.com/sneat-bootstrap-html-admin-template-free/html/)
05:47:27	3026/3026	---M--	200	added ('OK')	text/css	etag:%2266a251f8-bd2%22	https://demos.themeselection.com/sneat-bootstrap-html-admin-template-free/assets/css/demo.css	C:/Users/Stania/Documents/sneat/demos.themeselection.com/sneat-bootstrap-html-admin-template-free/assets/css/demo.css	(from https://demos.themeselection.com/sneat-bootstrap-html-admin-template-free/html/)
05:47:27	3968/3968	---M--	200	added ('OK')	text/css	etag:%2266a251f8-f80%22	https://demos.themeselection.com/sneat-bootstrap-html-admin-template-free/assets/vendor/libs/perfect-scrollbar/perfect-scrollbar.css	C:/Users/Stania/Documents/sneat/demos.themeselection.com/sneat-bootstrap-html-admin-template-free/assets/vendor/libs/perfect-scrollbar/perfect-scrollbar.css	(from https://demos.themeselection.com/sneat-bootstrap-html-admin-template-free/html/)
05:47:28	16013/16013	---M--	200	added ('OK')	text/css	etag:%2266a251f8-3e8d%22	https://demos.themeselection.com/sneat-bootstrap-html-admin-template-free/assets/vendor/libs/apex-charts/apex-charts.css	C:/Users/Stania/Documents/sneat/demos.themeselection.com/sneat-bootstrap-html-admin-template-free/assets/vendor/libs/apex-charts/apex-charts.css	(from https://demos.themeselection.com/sneat-bootstrap-html-admin-template-free/html/)
05:47:28	17243/17243	---M--	200	added ('OK')	application/javascript	etag:%2266a251f8-435b%22	https://demos.themeselection.com/sneat-bootstrap-html-admin-template-free/assets/vendor/js/helpers.js	C:/Users/Stania/Documents/sneat/demos.themeselection.com/sneat-bootstrap-html-admin-template-free/assets/vendor/js/helpers.js	(from https://demos.themeselection.com/sneat-bootstrap-html-admin-template-free/html/)
05:47:28	294/294	---M--	200	added ('OK')	application/javascript	etag:%2266a251f8-126%22	https://demos.themeselection.com/sneat-bootstrap-html-admin-template-free/assets/js/config.js	C:/Users/Stania/Documents/sneat/demos.themeselection.com/sneat-bootstrap-html-admin-template-free/assets/js/config.js	(from https://demos.themeselection.com/sneat-bootstrap-html-admin-template-free/html/)
05:47:29	54193/54193	---MCZ	200	added ('OK')	text/html	etag:W/%2266a251f8-d3b1%22	https://demos.themeselection.com/sneat-bootstrap-html-admin-template-free/html/index.html	C:/Users/Stania/Documents/sneat/demos.themeselection.com/sneat-bootstrap-html-admin-template-free/html/index-2.html	(from https://demos.themeselection.com/sneat-bootstrap-html-admin-template-free/html/)
05:47:29	153/153	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2024%20Feb%202025%2004:47:37%20GMT	https://demos.themeselection.com/sneat-bootstrap-html-admin-template-free/html/app-academy-dashboard.html	C:/Users/Stania/Documents/sneat/demos.themeselection.com/sneat-bootstrap-html-admin-template-free/html/app-academy-dashboard.html	(from https://demos.themeselection.com/sneat-bootstrap-html-admin-template-free/html/)
05:47:29	10103/10103	---MCZ	200	added ('OK')	text/html	etag:W/%2266a251f8-2777%22	https://demos.themeselection.com/sneat-bootstrap-html-admin-template-free/html/layouts-without-menu.html	C:/Users/Stania/Documents/sneat/demos.themeselection.com/sneat-bootstrap-html-admin-template-free/html/layouts-without-menu.html	(from https://demos.themeselection.com/sneat-bootstrap-html-admin-template-free/html/)
05:47:30	29205/29205	---MCZ	200	added ('OK')	text/html	etag:W/%2266a251f8-7215%22	https://demos.themeselection.com/sneat-bootstrap-html-admin-template-free/html/layouts-without-navbar.html	C:/Users/Stania/Documents/sneat/demos.themeselection.com/sneat-bootstrap-html-admin-template-free/html/layouts-without-navbar.html	(from https://demos.themeselection.com/sneat-bootstrap-html-admin-template-free/html/)
05:47:30	33101/33101	---MCZ	200	added ('OK')	text/html	etag:W/%2266a251f8-814d%22	https://demos.themeselection.com/sneat-bootstrap-html-admin-template-free/html/layouts-fluid.html	C:/Users/Stania/Documents/sneat/demos.themeselection.com/sneat-bootstrap-html-admin-template-free/html/layouts-fluid.html	(from https://demos.themeselection.com/sneat-bootstrap-html-admin-template-free/html/)
